sample_id,split,image_path,image_sha256,label_path,label_sha256,class_id,class_name,num_objects,source_dataset,site_id,real_or_synthetic
Barge_No_1_01__tile_r0000_c0000,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0000_c0000.png,611a3304b8fd5db77f84cbb5564b2a34e065e6a497afa9e1242a6218b6e24ef5,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0000_c0000.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0000_c0001,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0000_c0001.png,0cf06fcabbef35897ed4db4e0651f6da1b6d4865831187de88fc0ad8ebe3782a,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0000_c0001.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0000_c0002,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0000_c0002.png,44036ce74b606aac79bb98fe056e0ee44b5973be49d70e005205a4dd1f0db242,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0000_c0002.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0000_c0003,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0000_c0003.png,2e308a0dc6926f87d56336dd23f293a4f97256ca003532b24a18956c415d196f,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0000_c0003.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0001_c0000,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0001_c0000.png,cac553fcb14e7b4beec6d95d30ddb6b250d675adc408327d32285885ebfe083e,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0001_c0000.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0001_c0001,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0001_c0001.png,cc88eb012b6037b47b8da343c5923470e794c008bf0737dc4ddd8e524bd688b3,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0001_c0001.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0001_c0002,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0001_c0002.png,725cfd61f4ee00172b5fbdb787d31ff922e8c7c10f32fee6ac9f05911ab2079b,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0001_c0002.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0001_c0003,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0001_c0003.png,c5955f4261903913eeeae78bf048a5a24071d1b4f0a1998618292b0ab0321bfb,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0001_c0003.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0002_c0000,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0002_c0000.png,9f8b50faf0bebe28fc232fc004bb4753d72a45d6889e1590cec0010bf9a995c7,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0002_c0000.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0002_c0001,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0002_c0001.png,d473471018dd629f71399a1955fe64d714c4658414a517959a050f5bcba03134,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0002_c0001.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
Barge_No_1_01__tile_r0002_c0002,train,data/dataset_v1.0/images/train/Barge_No_1_01__tile_r0002_c0002.png,82eeda870f19db671c8283fcddb87a84915feb4fee61f792c71b1f12ed454f4c,data/dataset_v1.0/labels/train/Barge_No_1_01__tile_r0002_c0002.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-1,negative_background,0,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,REAL
