file,orig_class,status,reason
ship-001,ship,VALID,ok
ship-002,ship,VALID,ok
ship-003,ship,VALID,ok
ship-004,ship,VALID,ok
ship-005-1,ship,VALID,ok
ship-005,ship,VALID,ok
ship-006,ship,VALID,ok
ship-007,ship,VALID,ok
ship-008,ship,VALID,ok
ship-009,ship,VALID,ok
ship-010,ship,VALID,ok
ship-011,ship,VALID,ok
ship-012,ship,VALID,ok
ship-013-1,ship,VALID,ok
ship-013,ship,VALID,ok
ship-014,ship,VALID,ok
ship-015,ship,VALID,ok
ship-016,ship,VALID,ok
ship-017,ship,VALID,ok
ship-018,ship,VALID,ok
ship-019-1,ship,VALID,ok
ship-019-2,ship,VALID,ok
ship-019,ship,VALID,ok
ship-020,ship,VALID,ok
ship-021-1,ship,VALID,ok
ship-021-2,ship,VALID,ok
ship-021,ship,VALID,ok
ship-022-1,ship,VALID,ok
ship-022,ship,VALID,ok
ship-023-1,ship,VALID,ok
ship-023-2,ship,VALID,ok
ship-023,ship,VALID,ok
ship-024-1,ship,VALID,ok
ship-024-2,ship,VALID,ok
ship-024,ship,VALID,ok
ship-025-1,ship,VALID,ok
ship-025-2,ship,VALID,ok
ship-025,ship,VALID,ok
ship-026-1,ship,VALID,ok
ship-026-2,ship,VALID,ok
ship-026,ship,VALID,ok
ship-027-1,ship,VALID,ok
ship-027-2,ship,VALID,ok
ship-027,ship,VALID,ok
ship-028,ship,VALID,ok
ship-029,ship,VALID,ok
ship-030,ship,VALID,ok
ship-031,ship,VALID,ok
ship-032,ship,VALID,ok
ship-033,ship,VALID,ok
ship-034,ship,VALID,ok
ship-035,ship,VALID,ok
ship-036,ship,VALID,ok
ship-037,ship,VALID,ok
ship-039,ship,VALID,ok
ship-040,ship,VALID,ok
ship-042,ship,VALID,ok
ship-043,ship,VALID,ok
ship-044,ship,VALID,ok
ship-045,ship,VALID,ok
ship-046,ship,VALID,ok
ship-047,ship,VALID,ok
ship-048,ship,VALID,ok
ship-049,ship,VALID,ok
ship-050,ship,VALID,ok
ship-051,ship,VALID,ok
ship-052,ship,VALID,ok
ship-053,ship,VALID,ok
ship-054,ship,VALID,ok
ship-055,ship,VALID,ok
ship-056,ship,VALID,ok
ship-057,ship,VALID,ok
ship-058,ship,VALID,ok
ship-059,ship,VALID,ok
ship-060-1,ship,VALID,ok
ship-060,ship,VALID,ok
ship-061,ship,VALID,ok
ship-062,ship,VALID,ok
ship-063,ship,VALID,ok
ship-064,ship,VALID,ok
ship-065,ship,VALID,ok
ship-066,ship,VALID,ok
ship-067,ship,VALID,ok
ship-068,ship,VALID,ok
ship-069,ship,VALID,ok
ship-070,ship,VALID,ok
ship-071,ship,VALID,ok
ship-072,ship,VALID,ok
ship-073,ship,VALID,ok
ship-074,ship,VALID,ok
ship-075,ship,VALID,ok
ship-076,ship,VALID,ok
ship-077,ship,VALID,ok
ship-078,ship,VALID,ok
ship-079,ship,VALID,ok
ship-080,ship,VALID,ok
ship-081,ship,VALID,ok
ship-082,ship,VALID,ok
ship-083,ship,VALID,ok
ship-084,ship,VALID,ok
ship-085,ship,VALID,ok
ship-086,ship,VALID,ok
ship-087,ship,VALID,ok
ship-088,ship,VALID,ok
ship-089,ship,SUSPICIOUS,very_small_image
ship-090,ship,SUSPICIOUS,very_small_image
ship-091,ship,VALID,ok
ship-092,ship,VALID,ok
ship-093,ship,VALID,ok
ship-094,ship,VALID,ok
ship-095,ship,VALID,ok
ship-096,ship,VALID,ok
ship-097,ship,VALID,ok
ship-098,ship,VALID,ok
ship-099,ship,VALID,ok
ship-100,ship,VALID,ok
ship-101,ship,VALID,ok
ship-102,ship,VALID,ok
ship-103,ship,VALID,ok
ship-104,ship,VALID,ok
ship-105,ship,VALID,ok
ship-106,ship,VALID,ok
ship-107,ship,VALID,ok
ship-108,ship,VALID,ok
ship-109,ship,VALID,ok
ship-110,ship,VALID,ok
ship-111,ship,VALID,ok
ship-112-1,ship,VALID,ok
ship-112-2,ship,VALID,ok
ship-112-3,ship,VALID,ok
ship-112,ship,VALID,ok
ship-113,ship,VALID,ok
ship-114,ship,VALID,ok
ship-115,ship,VALID,ok
ship-116,ship,VALID,ok
ship-117,ship,VALID,ok
ship-118,ship,VALID,ok
ship-119,ship,VALID,ok
ship-120-1,ship,VALID,ok
ship-120,ship,VALID,ok
ship-121,ship,VALID,ok
ship-122,ship,VALID,ok
ship-123,ship,VALID,ok
ship-124,ship,VALID,ok
ship-125,ship,VALID,ok
ship-126,ship,VALID,ok
ship-127,ship,VALID,ok
ship-128,ship,VALID,ok
ship-129,ship,VALID,ok
ship-130,ship,VALID,ok
ship-131,ship,VALID,ok
ship-132,ship,VALID,ok
ship-133,ship,VALID,ok
ship-134,ship,VALID,ok
ship-135,ship,VALID,ok
ship-136,ship,VALID,ok
ship-137,ship,VALID,ok
ship-138,ship,VALID,ok
ship-139,ship,VALID,ok
ship-140,ship,VALID,ok
ship-141,ship,VALID,ok
ship-142,ship,VALID,ok
ship-143,ship,VALID,ok
ship-144,ship,VALID,ok
ship-145,ship,VALID,ok
ship-146,ship,VALID,ok
ship-147,ship,VALID,ok
ship-148,ship,VALID,ok
ship-149,ship,VALID,ok
ship-150,ship,VALID,ok
ship-151,ship,VALID,ok
ship-152,ship,VALID,ok
ship-153,ship,VALID,ok
ship-154,ship,VALID,ok
ship-155,ship,VALID,ok
ship-156,ship,VALID,ok
ship-157,ship,VALID,ok
ship-158,ship,SUSPICIOUS,excessive_zero_or_saturated_px:0.52/0.00
ship-159,ship,VALID,ok
ship-160,ship,VALID,ok
ship-161,ship,VALID,ok
ship-162,ship,VALID,ok
ship-163,ship,VALID,ok
ship-164,ship,VALID,ok
ship-165,ship,VALID,ok
ship-166,ship,VALID,ok
ship-167,ship,VALID,ok
ship-168,ship,VALID,ok
ship-169,ship,VALID,ok
ship-303,ship,VALID,ok
ship-304,ship,VALID,ok
ship-305,ship,VALID,ok
ship-306,ship,VALID,ok
ship-307,ship,VALID,ok
ship-308,ship,VALID,ok
ship-309,ship,VALID,ok
ship-310,ship,VALID,ok
ship-311,ship,VALID,ok
ship-312,ship,VALID,ok
ship-313,ship,VALID,ok
ship-314,ship,VALID,ok
ship-315,ship,VALID,ok
ship-316,ship,VALID,ok
ship-317,ship,VALID,ok
