tile,source_image,orig_class,mode,weak_label
klsg_plane-1_t0.png,plane-1.png,plane,pad,True
klsg_plane-10_t0.png,plane-10.png,plane,slide,True
klsg_plane-11_t0.png,plane-11.png,plane,pad,True
klsg_plane-12_t0.png,plane-12.png,plane,pad,True
klsg_plane-13_t0.png,plane-13.png,plane,slide,True
klsg_plane-14_t0.png,plane-14.png,plane,slide,True
klsg_plane-15_t0.png,plane-15.png,plane,pad,True
klsg_plane-16_t0.png,plane-16.png,plane,pad,True
klsg_plane-17_t0.png,plane-17.png,plane,pad,True
klsg_plane-18_t0.png,plane-18.png,plane,slide,True
klsg_plane-18_t1.png,plane-18.png,plane,slide,True
klsg_plane-19_t0.png,plane-19.png,plane,pad,True
klsg_plane-2_t0.png,plane-2.png,plane,slide,True
klsg_plane-2_t1.png,plane-2.png,plane,slide,True
klsg_plane-2_t2.png,plane-2.png,plane,slide,True
klsg_plane-2_t3.png,plane-2.png,plane,slide,True
klsg_plane-2_t4.png,plane-2.png,plane,slide,True
klsg_plane-2_t5.png,plane-2.png,plane,slide,True
klsg_plane-20_t0.png,plane-20.png,plane,pad,True
klsg_plane-21_t0.png,plane-21.png,plane,pad,True
klsg_plane-22_t0.png,plane-22.png,plane,pad,True
klsg_plane-23_t0.png,plane-23.png,plane,pad,True
klsg_plane-24_t0.png,plane-24.png,plane,pad,True
klsg_plane-25_t0.png,plane-25.png,plane,pad,True
klsg_plane-26_t0.png,plane-26.png,plane,pad,True
klsg_plane-27_t0.png,plane-27.png,plane,pad,True
klsg_plane-28_t0.png,plane-28.png,plane,pad,True
klsg_plane-29_t0.png,plane-29.png,plane,pad,True
klsg_plane-3_t0.png,plane-3.png,plane,pad,True
klsg_plane-30_t0.png,plane-30.png,plane,pad,True
klsg_plane-31_t0.png,plane-31.png,plane,pad,True
klsg_plane-32_t0.png,plane-32.png,plane,pad,True
klsg_plane-33_t0.png,plane-33.png,plane,pad,True
klsg_plane-34_t0.png,plane-34.png,plane,pad,True
klsg_plane-35_t0.png,plane-35.png,plane,pad,True
klsg_plane-36_t0.png,plane-36.png,plane,slide,True
klsg_plane-37_t0.png,plane-37.png,plane,pad,True
klsg_plane-38_t0.png,plane-38.png,plane,pad,True
klsg_plane-39_t0.png,plane-39.png,plane,pad,True
klsg_plane-4_t0.png,plane-4.png,plane,pad,True
klsg_plane-40_t0.png,plane-40.png,plane,pad,True
klsg_plane-41_t0.png,plane-41.png,plane,pad,True
klsg_plane-42_t0.png,plane-42.png,plane,pad,True
klsg_plane-43_t0.png,plane-43.png,plane,pad,True
klsg_plane-44_t0.png,plane-44.png,plane,pad,True
klsg_plane-45_t0.png,plane-45.png,plane,pad,True
