tile,source_image,mode,num_boxes,split
sctd_000002_t0.png,000002.jpg,pad,1,train
sctd_000006_t0.png,000006.jpg,pad,1,train
sctd_000007_t0.png,000007.jpg,slide,1,train
sctd_000008_t0.png,000008.jpg,pad,1,test
sctd_000010_t0.png,000010.jpg,slide,1,train
sctd_000012_t0.png,000012.jpg,pad,1,train
sctd_000013_t0.png,000013.jpg,pad,1,train
sctd_000014_t0.png,000014.jpg,pad,1,train
sctd_000017_t0.png,000017.jpg,pad,1,train
sctd_000018_t0.png,000018.jpg,pad,1,train
sctd_000020_t0.png,000020.jpg,pad,1,train
sctd_000023_t0.png,000023.jpg,pad,1,train
sctd_000024_t0.png,000024.jpg,pad,1,test
sctd_000026_t0.png,000026.jpg,pad,1,test
sctd_000027_t0.png,000027.jpg,pad,1,train
sctd_000029_t0.png,000029.jpg,pad,1,test
sctd_000032_t0.png,000032.jpg,pad,1,test
sctd_000033_t0.png,000033.jpg,slide,1,train
sctd_000034_t0.png,000034.jpg,pad,1,train
sctd_000037_t0.png,000037.jpg,slide,1,train
sctd_000037_t1.png,000037.jpg,slide,1,train
sctd_000038_t0.png,000038.jpg,pad,1,train
sctd_000039_t0.png,000039.jpg,pad,1,train
sctd_000040_t0.png,000040.jpg,pad,1,test
sctd_000041_t0.png,000041.jpg,pad,1,val
sctd_000044_t0.png,000044.jpg,pad,1,train
sctd_000045_t0.png,000045.jpg,pad,1,train
sctd_000046_t0.png,000046.jpg,pad,1,train
sctd_000051_t0.png,000051.jpg,pad,1,train
sctd_000054_t0.png,000054.jpg,slide,1,val
sctd_000055_t0.png,000055.jpg,slide,1,train
sctd_000055_t1.png,000055.jpg,slide,1,train
sctd_000055_t2.png,000055.jpg,slide,1,train
sctd_000055_t3.png,000055.jpg,slide,1,train
sctd_000056_t0.png,000056.jpg,pad,1,train
sctd_000057_t0.png,000057.jpg,pad,1,train
sctd_000058_t0.png,000058.jpg,slide,1,train
sctd_000059_t0.png,000059.jpg,slide,1,val
sctd_000059_t1.png,000059.jpg,slide,1,val
sctd_000059_t2.png,000059.jpg,slide,1,val
sctd_000059_t3.png,000059.jpg,slide,1,val
sctd_000060_t0.png,000060.jpg,pad,1,train
sctd_000061_t0.png,000061.jpg,slide,1,val
sctd_000063_t0.png,000063.jpg,pad,1,val
sctd_000065_t0.png,000065.jpg,pad,1,train
sctd_000066_t0.png,000066.jpg,slide,1,train
sctd_000066_t1.png,000066.jpg,slide,1,train
sctd_000066_t2.png,000066.jpg,slide,1,train
sctd_000066_t3.png,000066.jpg,slide,1,train
sctd_000066_t4.png,000066.jpg,slide,1,train
sctd_000066_t5.png,000066.jpg,slide,1,train
sctd_000066_t6.png,000066.jpg,slide,1,train
sctd_000066_t7.png,000066.jpg,slide,1,train
sctd_000068_t0.png,000068.jpg,pad,1,train
sctd_000069_t0.png,000069.jpg,pad,1,test
sctd_000070_t0.png,000070.jpg,pad,1,train
sctd_000071_t0.png,000071.jpg,pad,1,train
sctd_000073_t0.png,000073.jpg,pad,1,train
sctd_000074_t0.png,000074.jpg,slide,1,test
sctd_000075_t0.png,000075.jpg,slide,1,train
sctd_000076_t0.png,000076.jpg,slide,1,train
sctd_000077_t0.png,000077.jpg,slide,1,test
sctd_000078_t0.png,000078.jpg,slide,1,train
sctd_000079_t0.png,000079.jpg,slide,1,test
sctd_000080_t0.png,000080.jpg,slide,1,train
sctd_000081_t0.png,000081.jpg,slide,1,val
sctd_000085_t0.png,000085.jpg,slide,1,test
sctd_000086_t0.png,000086.jpg,slide,1,train
sctd_000088_t0.png,000088.jpg,pad,1,train
sctd_000089_t0.png,000089.jpg,pad,1,train
sctd_000090_t0.png,000090.jpg,slide,1,val
sctd_000091_t0.png,000091.jpg,pad,1,test
sctd_000092_t0.png,000092.jpg,pad,1,train
sctd_000093_t0.png,000093.jpg,pad,1,train
sctd_000094_t0.png,000094.jpg,pad,1,train
sctd_000095_t0.png,000095.jpg,slide,1,train
sctd_000096_t0.png,000096.jpg,pad,1,train
sctd_000097_t0.png,000097.jpg,pad,1,test
sctd_000098_t0.png,000098.jpg,slide,0,train
sctd_000098_t1.png,000098.jpg,slide,1,train
sctd_000099_t0.png,000099.jpg,pad,1,train
sctd_000100_t0.png,000100.jpg,pad,1,train
sctd_000101_t0.png,000101.jpg,pad,1,train
sctd_000102_t0.png,000102.jpg,pad,1,train
sctd_000104_t0.png,000104.jpg,slide,1,train
sctd_000105_t0.png,000105.jpg,slide,1,train
sctd_000106_t0.png,000106.jpg,slide,2,test
sctd_000108_t0.png,000108.jpg,slide,1,train
sctd_000109_t0.png,000109.jpg,slide,1,val
sctd_000109_t1.png,000109.jpg,slide,1,val
sctd_000110_t0.png,000110.jpg,slide,1,train
sctd_000111_t0.png,000111.jpg,slide,0,train
sctd_000111_t1.png,000111.jpg,slide,1,train
sctd_000111_t2.png,000111.jpg,slide,0,train
sctd_000112_t0.png,000112.jpg,pad,1,train
sctd_000113_t0.png,000113.jpg,pad,1,train
sctd_000114_t0.png,000114.jpg,pad,1,train
sctd_000115_t0.png,000115.jpg,pad,1,test
sctd_000117_t0.png,000117.jpg,slide,1,train
sctd_000122_t0.png,000122.jpg,pad,1,test
sctd_000124_t0.png,000124.jpg,pad,1,train
sctd_000125_t0.png,000125.jpg,pad,1,val
sctd_000126_t0.png,000126.jpg,slide,1,train
sctd_000127_t0.png,000127.jpg,slide,1,train
sctd_000129_t0.png,000129.jpg,slide,0,train
sctd_000129_t1.png,000129.jpg,slide,1,train
sctd_000130_t0.png,000130.jpg,slide,1,val
sctd_000131_t0.png,000131.jpg,slide,1,train
sctd_000131_t1.png,000131.jpg,slide,1,train
sctd_000133_t0.png,000133.jpg,slide,0,train
sctd_000133_t1.png,000133.jpg,slide,1,train
sctd_000133_t2.png,000133.jpg,slide,0,train
sctd_000134_t0.png,000134.jpg,pad,1,train
sctd_000135_t0.png,000135.jpg,slide,1,train
sctd_000136_t0.png,000136.jpg,slide,1,val
sctd_000138_t0.png,000138.jpg,slide,1,train
sctd_000139_t0.png,000139.jpg,pad,1,train
sctd_000142_t0.png,000142.jpg,pad,1,train
sctd_000143_t0.png,000143.jpg,slide,1,train
sctd_000145_t0.png,000145.jpg,pad,1,train
sctd_000147_t0.png,000147.jpg,pad,1,val
sctd_000149_t0.png,000149.jpg,slide,1,train
sctd_000150_t0.png,000150.jpg,pad,1,train
sctd_000153_t0.png,000153.jpg,slide,1,test
sctd_000154_t0.png,000154.jpg,pad,1,val
sctd_000155_t0.png,000155.jpg,slide,1,train
sctd_000157_t0.png,000157.jpg,slide,1,train
sctd_000158_t0.png,000158.jpg,slide,1,train
sctd_000160_t0.png,000160.jpg,pad,1,train
sctd_000161_t0.png,000161.jpg,pad,1,val
sctd_000162_t0.png,000162.jpg,slide,1,val
sctd_000163_t0.png,000163.jpg,slide,1,train
sctd_000164_t0.png,000164.jpg,pad,1,test
sctd_000165_t0.png,000165.jpg,slide,1,test
sctd_000167_t0.png,000167.jpg,pad,1,test
sctd_000168_t0.png,000168.jpg,slide,1,train
sctd_000169_t0.png,000169.jpg,pad,1,test
sctd_000171_t0.png,000171.jpg,pad,1,train
sctd_000172_t0.png,000172.jpg,pad,1,val
sctd_000174_t0.png,000174.jpg,slide,1,val
sctd_000174_t1.png,000174.jpg,slide,1,val
sctd_000175_t0.png,000175.jpg,pad,1,train
sctd_000177_t0.png,000177.jpg,slide,1,test
sctd_000179_t0.png,000179.jpg,slide,1,train
sctd_000180_t0.png,000180.jpg,slide,1,train
sctd_000181_t0.png,000181.jpg,pad,1,train
sctd_000182_t0.png,000182.jpg,slide,1,train
